ID,nivel_de_satisfaccion,ultima_evaluacion,cantidad_proyectos,promedio_horas_mensuales_trabajadas,años_en_la_empresa,tuvo_un_accidente_laboral,promociones_ultimos_5_anios,area,salario,se_fue
2876,0.63,0.84,3,269,2,0,0,gestión de productos,bajo,no
7883,0.11,0.93,7,284,4,0,0,tecnica,bajo,si
4089,0.6,0.42,2,109,6,0,0,ventas,bajo,no
8828,0.38,0.49,4,196,3,0,1,dirección,alto,no
9401,0.11,0.83,6,244,4,0,0,contabilidad,bajo,si
456,0.77,0.58,4,243,4,1,1,ventas,medio,no
5278,0.45,0.51,2,147,3,0,0,ventas,bajo,si
8918,0.95,0.68,5,225,3,0,0,ventas,medio,no
5510,0.37,0.54,2,145,3,0,0,ImásD,medio,si
4563,0.8,0.81,5,248,2,1,0,ImásD,bajo,no
9559,0.95,0.78,3,204,2,1,0,marketing,medio,no
4529,0.43,0.44,5,213,3,0,0,ventas,bajo,no
6768,0.9,0.96,2,258,2,0,0,ventas,bajo,no
5719,0.54,0.74,2,166,3,0,0,ventas,medio,no
1028,0.61,0.42,3,104,2,0,0,RRHH,medio,no
8985,0.78,0.66,3,164,3,0,0,ventas,bajo,si
2457,0.75,0.74,4,153,2,0,0,marketing,medio,no
420,0.7,0.5,6,214,5,0,0,soporte,medio,no
3274,0.96,0.93,4,260,3,0,0,soporte,medio,no
9527,0.59,0.65,3,226,3,0,0,soporte,medio,no
8878,0.59,0.79,4,209,2,0,0,tecnica,medio,no
6914,0.17,0.57,4,116,3,0,0,ventas,medio,no
6391,0.71,0.89,3,244,4,0,0,ImásD,medio,no
9920,0.53,0.47,6,106,6,0,0,dirección,alto,no
6542,0.82,0.76,4,266,3,0,1,dirección,alto,no
7068,0.46,0.54,2,144,3,0,0,ventas,bajo,si
5427,0.18,0.73,4,219,5,0,0,ventas,medio,no
5926,0.43,0.51,5,168,4,0,0,gestión de productos,medio,no
2884,0.44,0.47,2,156,3,1,0,ventas,medio,si
1467,0.91,0.56,4,270,2,0,0,marketing,medio,no
9602,0.51,0.75,4,154,3,0,0,marketing,medio,no
8996,0.51,0.93,3,162,4,0,0,soporte,medio,no
6885,0.11,0.77,6,247,4,0,0,tecnica,medio,si
7929,0.41,0.47,2,138,3,0,0,ventas,bajo,si
246,0.88,0.99,3,190,5,0,0,tecnica,alto,no
4762,0.73,0.52,2,113,5,1,0,soporte,medio,no
7558,0.53,0.57,4,250,3,1,0,gestión de productos,bajo,no
2157,0.1,0.83,7,276,4,0,0,contabilidad,bajo,si
3170,0.69,0.75,3,253,3,0,0,dirección,alto,no
2308,0.92,0.88,4,111,4,0,0,tecnica,medio,no
1423,0.91,0.49,3,213,4,0,0,tecnica,medio,no
4129,0.24,0.89,5,142,4,0,0,soporte,medio,no
4120,0.75,0.92,3,211,3,0,0,ventas,medio,no
3673,0.83,0.99,5,132,3,0,0,tecnica,bajo,no
1518,0.68,0.74,4,263,2,1,0,tecnica,medio,no
1382,0.66,0.85,4,237,3,1,0,soporte,medio,no
2320,0.66,0.7,4,161,3,0,0,ImásD,bajo,no
4638,0.44,0.54,3,115,3,0,0,TI,medio,no
2647,0.39,0.57,2,145,3,0,0,contabilidad,medio,si
8537,0.51,0.98,4,245,3,0,0,soporte,medio,no
457,0.73,0.88,5,134,2,1,0,soporte,bajo,no
4400,0.87,0.85,5,221,6,0,0,soporte,medio,si
7948,0.61,0.59,3,157,2,0,0,ventas,alto,no
